,price
2013-11-08,3666000
2013-11-09,3654000
2013-11-10,3654000
2013-11-11,3648000
2013-11-12,3646000
2013-11-13,3640000
2013-11-14,3648000
2013-11-15,3646000
2013-11-16,3649000
2013-11-17,3649000
2013-11-18,3647000
2013-11-19,3640000
2013-11-20,3638000
2013-11-21,3601000
2013-11-22,3594000
2013-11-23,3585000
2013-11-24,3585000
2013-11-25,3513000
2013-11-26,3546000
2013-11-27,3539000
2013-11-28,3522000
2013-11-29,3539000
2013-11-30,3551000
2013-12-01,3551000
2013-12-02,3539000
2013-12-03,3519000
2013-12-04,3517000
2013-12-05,3533000
2013-12-06,3531000
2013-12-07,3532000
2013-12-08,3532000
2013-12-09,3530000
2013-12-10,3545000
2013-12-11,3573000
2013-12-12,3564000
2013-12-13,3536000
2013-12-14,3549000
2013-12-15,3549000
2013-12-16,3535000
2013-12-17,3545000
2013-12-18,3543000
2013-12-19,3519000
2013-12-20,3508000
2013-12-21,3520000
2013-12-22,3520000
2013-12-23,3508000
2013-12-24,3503000
2013-12-25,3505000
2013-12-26,3508000
2013-12-27,3509000
2013-12-28,3503000
2013-12-29,3503000
2013-12-30,3491000
2013-12-31,3473000
2014-01-01,3473000
2014-01-02,3497000
2014-01-03,3504000
2014-01-04,3511000
2014-01-05,3511000
2014-01-06,3519000
2014-01-07,3516000
2014-01-08,3500000
2014-01-09,3503000
2014-01-10,3507000
2014-01-11,3520000
2014-01-12,3520000
2014-01-13,3518000
2014-01-14,3517000
2014-01-15,3498000
2014-01-16,3499000
2014-01-17,3505000
2014-01-18,3514000
2014-01-19,3514000
2014-01-20,3504000
2014-01-21,3500000
2014-01-22,3489000
2014-01-23,3498000
2014-01-24,3504000
2014-01-25,3519000
2014-01-26,3519000
2014-01-27,3530000
2014-01-28,3530000
2014-01-29,3530000
2014-01-30,3530000
2014-01-31,3530000
2014-02-01,3530000
2014-02-02,3530000
2014-02-03,3530000
2014-02-04,3530000
2014-02-05,3530000
2014-02-06,3528000
2014-02-07,3532000
2014-02-08,3541000
2014-02-09,3541000
2014-02-10,3541000
2014-02-11,3551000
2014-02-12,3550000
2014-02-13,3548000
2014-02-14,3588000
2014-02-15,3613000
2014-02-16,3613000
2014-02-17,3670000
2014-02-18,3646000
2014-02-19,3634000
2014-02-20,3607000
2014-02-21,3614000
2014-02-22,3615000
2014-02-23,3615000
2014-02-24,3628000
2014-02-25,3637000
2014-02-26,3638000
2014-02-27,3613000
2014-02-28,3613000
2014-03-01,3610000
2014-03-02,3610000
2014-03-03,3628000
2014-03-04,3616000
2014-03-05,3610000
2014-03-06,3608000
2014-03-07,3617000
2014-03-08,3611000
2014-03-09,3611000
2014-03-10,3608000
2014-03-11,3617000
2014-03-12,3622000
2014-03-13,3628000
2014-03-14,3623000
2014-03-15,3636000
2014-03-16,3636000
2014-03-17,3634000
2014-03-18,3621000
2014-03-19,3612000
2014-03-20,3592000
2014-03-21,3600000
2014-03-22,3600000
2014-03-23,3600000
2014-03-24,3587000
2014-03-25,3573000
2014-03-26,3572000
2014-03-27,3552000
2014-03-28,3553000
2014-03-29,3554000
2014-03-30,3554000
2014-03-31,3550000
2014-04-01,3539000
2014-04-02,3534000
2014-04-03,3539000
2014-04-04,3546000
2014-04-05,3559000
2014-04-06,3559000
2014-04-07,3559000
2014-04-08,3570000
2014-04-09,3570000
2014-04-10,3583000
2014-04-11,3575000
2014-04-12,3576000
2014-04-13,3576000
2014-04-14,3587000
2014-04-15,3566000
2014-04-16,3547000
2014-04-17,3546000
2014-04-18,3542000
2014-04-19,3544000
2014-04-20,3544000
2014-04-21,3536000
2014-04-22,3538000
2014-04-23,3536000
2014-04-24,3537000
2014-04-25,3547000
2014-04-26,3560000
2014-04-27,3560000
2014-04-28,3557000
2014-04-29,3542000
2014-04-30,3542000
2014-05-01,3542000
2014-05-02,3542000
2014-05-03,3542000
2014-05-04,3542000
2014-05-05,3554000
2014-05-06,3546000
2014-05-07,3546000
2014-05-08,3539000
2014-05-09,3545000
2014-05-10,3554000
2014-05-11,3554000
2014-05-12,3562000
2014-05-13,3569000
2014-05-14,3569000
2014-05-15,3633000
2014-05-16,3638000
2014-05-17,3643000
2014-05-18,3643000
2014-05-19,3647000
2014-05-20,3682000
2014-05-21,3706000
2014-05-22,3652000
2014-05-23,3668000
2014-05-24,3674000
2014-05-25,3674000
2014-05-26,3668000
2014-05-27,3666000
2014-05-28,3647000
2014-05-29,3640000
2014-05-30,3646000
2014-05-31,3638000
2014-06-01,3638000
2014-06-02,3626000
2014-06-03,3618000
2014-06-04,3600000
2014-06-05,3595000
2014-06-06,3627000
2014-06-07,3629000
2014-06-08,3626000
2014-06-09,3630000
2014-06-10,3630000
2014-06-11,3661000
2014-06-12,3658000
2014-06-13,3673000
2014-06-14,3667000
2014-06-15,3668000
2014-06-16,3663000
2014-06-17,3643000
2014-06-18,3650000
2014-06-19,3671000
2014-06-20,3689000
2014-06-21,3681000
2014-06-22,3675000
2014-06-23,3670000
2014-06-24,3682000
2014-06-25,3674000
